通し番号,popup,遺産名,lat,lon,lat-修正,lon-修正,国,種類,文化遺産,自然遺産,複合遺産,登録年,(ⅰ),(ⅱ),(ⅲ),(ⅳ),(ⅴ),(ⅵ),(ⅶ),(ⅷ),(ⅸ),(ⅹ)
1,ヴァトナヨークトル国立公園：火山と氷河がつくるダイナミックな自然/2019,ヴァトナヨークトル国立公園：火山と氷河がつくるダイナミックな自然,64.7843437,-17.20843155,64.7843437,-17.20843155,アイスランド共和国,自然遺産,0,1,0,2019,0,0,0,0,0,0,0,1,0,0
34,アラスカ・カナダ国境地帯の山岳国立公園群：クルアニ、ランゲル・セント・エライアス、グレイシャー・ベイ、タッシェンシニ・アルセク/1979,アラスカ・カナダ国境地帯の山岳国立公園群：クルアニ、ランゲル・セント・エライアス、グレイシャー・ベイ、タッシェンシニ・アルセク,63.11514617,-151.1944611,63.11514617,-151.1944611,アメリカ合衆国及びカナダ,自然遺産,0,1,0,1979,0,0,0,0,0,0,1,1,1,1
256,英国の湖水地方/2017,英国の湖水地方,54.37393185,-2.937646509,54.37393185,-2.937646509,英国（グレートブリテン及び北アイルランド連合王国）,文化遺産,1,0,0,2017,0,1,0,0,1,1,0,0,0,0
225,ジョドレルバンク天文台/2019,ジョドレルバンク天文台,53.24281068,-2.300454644,53.24281068,-2.300454644,英国（グレートブリテン及び北アイルランド連合王国）,文化遺産,1,0,0,2019,1,1,0,1,0,1,0,0,0,0
254,ウェールズ北西部の粘板岩の景観/2021,ウェールズ北西部の粘板岩の景観,51.83303758,-1.843311403,51.83303758,-1.843311403,英国（グレートブリテン及び北アイルランド連合王国）及びドイツ連邦共和国,文化遺産,1,0,0,2021,0,1,0,1,0,0,0,0,0,0
238,ストーンヘンジ、エイヴベリーの巨石遺跡と関連遺跡群/1986,ストーンヘンジ、エイヴベリーの巨石遺跡と関連遺跡群,51.42892389,-1.854887449,51.42892389,-1.854887449,英国（グレートブリテン及び北アイルランド連合王国）,文化遺産,1,0,0,1986,1,1,1,0,0,0,0,0,0,0
127,アルブラとベルニナの景観とレーティッシュ鉄道/2008,アルブラとベルニナの景観とレーティッシュ鉄道,46.40888266,10.01970036,46.40888266,10.01970036,イタリア共和国及びスイス連邦,文化遺産,1,0,0,2008,0,1,0,1,0,0,0,0,0,0
123,コネリアーノとヴァルドッビアーデネのプロセッコ栽培丘陵群 /2019,コネリアーノとヴァルドッビアーデネのプロセッコ栽培丘陵群 ,45.89704035,12.0118446,45.89704035,12.0118446,イタリア共和国,文化遺産,1,0,0,2019,0,0,0,0,1,0,0,0,0,0
122,イヴレーア：20世紀の産業都市/2018,イヴレーア：20世紀の産業都市,45.46708252,7.880049424,45.46708252,7.880049424,イタリア共和国,文化遺産,1,0,0,2018,0,0,0,1,0,0,0,0,0,0
124,パドヴァの14世紀のフレスコ画群/2021,パドヴァの14世紀のフレスコ画群,45.41182238,11.87952452,45.41182238,11.87952452,イタリア共和国,文化遺産,1,0,0,2021,0,1,0,0,0,0,0,0,0,0
125,ボローニャのポルティコ群/2021,ボローニャのポルティコ群,44.47929943,11.29804104,44.47929943,11.29804104,イタリア共和国,文化遺産,1,0,0,2021,0,0,0,1,0,0,0,0,0,0
777,知床/2005,知床,44.145623,145.27978,44.145623,145.27978,日本国,自然遺産,0,1,0,2005,0,0,0,0,0,0,0,0,1,1
108,ピサのドゥオーモ広場/1987,ピサのドゥオーモ広場,43.72322799,10.39471816,43.72322799,10.39471816,イタリア共和国,文化遺産,1,0,0,1987,1,1,0,1,0,1,0,0,0,0
32,フランク・ロイド・ライトの20世紀の建築/2019,フランク・ロイド・ライトの20世紀の建築,41.78978499,-87.59594549,41.78978499,-87.59594549,アメリカ合衆国,文化遺産,1,0,0,2019,0,1,0,0,0,0,0,0,0,0
8,ハーンの宮殿のあるシェキの歴史地区 /2019,ハーンの宮殿のあるシェキの歴史地区 ,41.20443672,47.19761067,41.20443672,47.19761067,アゼルバイジャン共和国,文化遺産,1,0,0,2019,0,1,0,0,1,0,0,0,0,0
791,北海道・北東北の縄文遺跡群/2021,北海道・北東北の縄文遺跡群,40.81612005,140.6966164,40.81612005,140.6966164,日本国,文化遺産,1,0,0,2021,0,0,1,0,1,0,0,0,0,0
775,白神山地/1993,白神山地,40.47,140.13,40.47,140.13,日本国,自然遺産,0,1,0,1993,0,0,0,0,0,0,0,0,1,0
780,平泉－仏国土（浄土）を表す建築・庭園及び考古学的遺跡群－/2011,平泉－仏国土（浄土）を表す建築・庭園及び考古学的遺跡群－,39.001362,141.10171,39.001362,141.10171,日本国,文化遺産,1,0,0,2011,0,1,0,0,0,1,0,0,0,0
152,ヒルカニアの森林群 /2019,ヒルカニアの森林群 ,37.0062588,49.427242,37.0062588,49.427242,イラン・イスラム共和国,自然遺産,0,1,0,2019,0,0,0,0,0,0,0,0,1,0
